         4930424 function calls (4927563 primitive calls) in 11.058 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    41142    0.009    0.000    0.009    0.000 {method 'append' of 'bytearray' objects}
      182    0.000    0.000    0.009    0.000 utils.py:152(_number_extracter)
      305    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.008    0.008 select.py:25(select_backend)
    13726    0.007    0.000    0.007    0.000 {built-in method math.isnan}
       12    0.000    0.000    0.007    0.001 csv.py:32(restart)
        2    0.000    0.000    0.007    0.003 {_init_pyside_extension}
        1    0.000    0.000    0.007    0.007 (builtin):65(bootstrap)
     6857    0.007    0.000    0.007    0.000 {method 'partition' of 'bytearray' objects}
       11    0.000    0.000    0.007    0.001 csv.py:18(add)
  303/300    0.004    0.000    0.007    0.000 {built-in method builtins.__build_class__}
        3    0.000    0.000    0.007    0.002 zmq_client.py:1096(capabilities)
      137    0.005    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
        2    0.001    0.000    0.007    0.003 {method 'sort' of 'PySide2.QtCore.QSortFilterProxyModel' objects}
      117    0.006    0.000    0.006    0.000 socket.py:357(send)
      100    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.000    0.000    0.006    0.006 __init__.py:10(<module>)
      100    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.006    0.006 zmq_client.py:229(read)
        1    0.000    0.000    0.006    0.006 zmq_client.py:252(_read)
      182    0.000    0.000    0.006    0.000 utils.py:164(<listcomp>)
        1    0.000    0.000    0.006    0.006 loader.py:43(<module>)
      279    0.000    0.000    0.006    0.000 locale_help.py:43(locale_convert)
    12332    0.003    0.000    0.006    0.000 sre_parse.py:254(get)
      114    0.001    0.000    0.006    0.000 zmq_client.py:971(_reqAsyncSendNext)
       14    0.005    0.000    0.005    0.000 {built-in method io.open}
        1    0.000    0.000    0.005    0.005 subprocess.py:42(<module>)
       57    0.000    0.000    0.005    0.000 zmq_client.py:950(reqAsync)
        2    0.000    0.000    0.005    0.003 zmq_client.py:1188(identification)
        1    0.000    0.000    0.005    0.005 client.py:3(<module>)
    23/22    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
    23/22    0.000    0.000    0.005    0.000 {built-in method _imp.exec_dynamic}
      990    0.000    0.000    0.004    0.000 re.py:175(fullmatch)
     6934    0.004    0.000    0.004    0.000 {built-in method time.time}
       14    0.000    0.000    0.004    0.000 zmq_client.py:784(_updateTracing)
     6857    0.004    0.000    0.004    0.000 {method 'decode' of 'bytearray' objects}
        1    0.000    0.000    0.004    0.004 context.py:2(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:2(<module>)
    12624    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
     2141    0.001    0.000    0.003    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.003    0.003 zmq_client.py:630(__init__)
        1    0.000    0.000    0.003    0.003 zmq_client.py:1407(acquireMacro)
      961    0.003    0.000    0.003    0.000 {built-in method fromtimestamp}
       59    0.000    0.000    0.003    0.000 zmq_client.py:824(process)
      210    0.000    0.000    0.003    0.000 locale_help.py:26(groupletters)
        1    0.000    0.000    0.003    0.003 socket.py:47(<module>)
        7    0.000    0.000    0.003    0.000 enum.py:633(_convert)
      693    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.003    0.003 jsonapi.py:13(<module>)
       16    0.000    0.000    0.003    0.000 zmq_client.py:115(listResponseDecode)
       15    0.001    0.000    0.003    0.000 zmq_client.py:81(__init__)
      721    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.003    0.003 zmq_client.py:1341(_reassignAlias)
        1    0.000    0.000    0.003    0.003 pathlib.py:2(<module>)
        1    0.000    0.000    0.002    0.002 zipfile.py:5(<module>)
        1    0.000    0.000    0.002    0.002 threading.py:1(<module>)
      160    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      134    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      182    0.002    0.000    0.002    0.000 {method 'split' of 're.Pattern' objects}
      461    0.000    0.000    0.002    0.000 locale.py:108(localeconv)
      141    0.000    0.000    0.002    0.000 enum.py:284(__call__)
        1    0.000    0.000    0.002    0.002 __init__.py:97(<module>)
     6883    0.002    0.000    0.002    0.000 {method 'values' of 'dict' objects}
     1578    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      461    0.002    0.000    0.002    0.000 {built-in method _locale.localeconv}
      991    0.000    0.000    0.002    0.000 re.py:185(sub)
     4567    0.001    0.000    0.002    0.000 locale_help.py:28(<genexpr>)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 inspect.py:27(<module>)
        1    0.000    0.000    0.002    0.002 zmq_client.py:1196(version)
        7    0.000    0.000    0.002    0.000 enum.py:389(_create_)
       30    0.001    0.000    0.002    0.000 zmq_client.py:36(__init__)
        1    0.000    0.000    0.002    0.002 shutil.py:5(<module>)
     7013    0.002    0.000    0.002    0.000 zmq_client.py:653(client)
    30172    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
  398/124    0.001    0.000    0.002    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.002    0.002 traceback.py:1(<module>)
       78    0.002    0.000    0.002    0.000 {method 'connect' of 'PySide2.QtCore.SignalInstance' objects}
      525    0.002    0.000    0.002    0.000 zmq_client.py:479(valueString)
       16    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
        8    0.001    0.000    0.002    0.000 enum.py:135(__new__)
       21    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 linecache.py:6(<module>)
       62    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
      234    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       21    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
      137    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
    11706    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
     2365    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       62    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
       21    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      256    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
        1    0.000    0.000    0.001    0.001 typing.py:19(<module>)
      115    0.001    0.000    0.001    0.000 {method 'setEnabled' of 'PySide2.QtCore.QSocketNotifier' objects}
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      991    0.000    0.000    0.001    0.000 re.py:252(escape)
        1    0.001    0.001    0.001    0.001 unicode_numbers.py:4(<module>)
     2342    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       11    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 protocol.py:17(<module>)
      140    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.001    0.001 pickle.py:24(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.001    0.001 fastnumbers.py:2(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
     1578    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     4357    0.001    0.000    0.001    0.000 locale.py:55(_low)
      781    0.001    0.000    0.001    0.000 {built-in method builtins.min}
